
Function,Count
ov.pl.embedding,14
ov.pp.preprocess,10
ov.utils.mde,8
ov.utils.cluster,6
ov.plot_set,5
ov.utils.embedding,5
ov.pp.qc,4
ov.pp.scale,4
ov.pp.pca,4
ov.utils.ov_plot_set,3
ov.single.cytotrace2,2
ov.single.get_celltype_marker,2
ov.single.cNMF,2
ov.utils.geneset_prepare,2
ov.utils.read,2
ov.single.gptcelltype,2
ov.utils.LDA_topic,1
ov.utils.blue_color,1
ov.utils.download_tosica_gmt,1
ov.utils.download_geneid_annotation_pair,1
ov.utils.download_pathway_database,1
ov.single.scanpy_lazy,1
ov.bulk.Matrix_ID_mapping,1
ov.single.pyTOSICA,1
ov.utils.gen_mpl_labels,1
ov.utils.geneset_wordcloud,1
ov.utils.green_color,1
ov.utils.palette,1
ov.utils.plot_ConvexHull,1
ov.utils.plot_heatmap,1
ov.utils.plot_pca_variance_ratio,1
ov.utils.red_color,1
ov.utils.retrieve_layers,1
ov.single.pyWGCNA,1
ov.single.gene_trends,1
ov.single.pyTCGA,1
ov.single.pySIMBA,1
ov.bulk.pyDEG,1
ov.bulk.pyGSEA,1
ov.bulk.pyPPI,1
ov.bulk.pySIMBA,1
ov.bulk.pyTCGA,1
ov.bulk.pyWGCNA,1
ov.bulk.readWGCNA,1
ov.bulk.string_interaction,1
ov.externel.scMulan.GeneSymbolUniform,1
ov.externel.scMulan.cell_type_smoothing,1
ov.externel.scMulan.model_inference,1
ov.externel.scMulan.visualize_selected_cell_types,1
ov.pp.mde,1
ov.single.CellVote,1
ov.single.LDA_topic,1
ov.single.MetaCell,1
ov.single.MetaTiME,1
ov.single.cellfategenie,1
ov.single.cosg,1
ov.bulk.batch_correction,1
ov.single.pathway_aucell_enrichment,1
ov.utils.store_layers,1
